Date,Fremont Bridge NB,Fremont Bridge SB,Total Bicycle Count,Conditions
1/1/2014,416,498,914,Fog-Rain
1/2/2014,934,931,1865,Rain
1/3/2014,948,1079,2027,Rain
1/4/2014,515,657,1172,Fog
1/5/2014,486,665,1151,Fog
1/6/2014,1149,1155,2304,Rain
1/7/2014,1011,1071,2082,Fog-Rain
1/8/2014,950,998,1948,Rain
1/9/2014,1093,1027,2120,Rain
1/10/2014,816,964,1780,Rain
1/11/2014,188,235,423,Rain
1/12/2014,285,370,655,Rain
1/13/2014,1251,1279,2530,
1/14/2014,1389,1419,2808,Fog-Rain
1/15/2014,1372,1400,2772,Fog
1/16/2014,1290,1351,2641,Fog
1/17/2014,1092,1218,2310,Fog
1/18/2014,491,644,1135,Fog
1/19/2014,378,444,822,Fog
1/20/2014,925,949,1874,
1/21/2014,1328,1352,2680,Fog
1/22/2014,1311,1381,2692,Rain
1/23/2014,1302,1347,2649,
1/24/2014,1188,1333,2521,Fog
1/25/2014,641,800,1441,Fog
1/26/2014,681,748,1429,Fog
1/27/2014,1244,1255,2499,Fog
1/28/2014,1212,1254,2466,Rain
1/29/2014,901,998,1899,Rain
1/30/2014,1125,1104,2229,
1/31/2014,987,1048,2035,Rain
2/1/2014,484,650,1134,Fog-Rain
2/2/2014,495,600,1095,Fog
2/3/2014,1152,1138,2290,
2/4/2014,1049,1042,2091,
2/5/2014,1331,1257,2588,
2/6/2014,755,807,1562,Snow
2/7/2014,750,822,1572,
2/8/2014,355,440,795,Fog-Snow
2/9/2014,116,105,221,Snow
2/10/2014,701,727,1428,Rain
2/11/2014,993,1031,2024,Rain
2/12/2014,1083,1056,2139,Rain
2/13/2014,1178,1211,2389,Rain
2/14/2014,880,906,1786,Rain
2/15/2014,294,364,658,Rain
2/16/2014,211,274,485,Rain
2/17/2014,533,495,1028,Rain
2/18/2014,776,749,1525,Rain
2/19/2014,1075,1092,2167,Rain
2/20/2014,1094,1120,2214,Rain
2/21/2014,960,929,1889,Rain
2/22/2014,281,343,624,Rain-Snow
2/23/2014,310,381,691,Rain
2/24/2014,753,804,1557,Rain
2/25/2014,1242,1321,2563,
2/26/2014,1450,1510,2960,
2/27/2014,1277,1444,2721,
2/28/2014,1361,1468,2829,
3/1/2014,401,588,989,Rain-Snow
3/2/2014,187,244,431,Rain
3/3/2014,817,903,1720,Rain
3/4/2014,998,1055,2053,Rain
3/5/2014,920,954,1874,Rain
3/6/2014,880,921,1801,Rain
3/7/2014,1249,1311,2560,
3/8/2014,346,380,726,Rain
3/9/2014,494,648,1142,Rain
3/10/2014,1078,1067,2145,Rain
3/11/2014,1657,1759,3416,Fog
3/12/2014,1753,1912,3665,Fog
3/13/2014,1619,1694,3313,Rain
3/14/2014,1087,1129,2216,Rain
3/15/2014,543,634,1177,Rain
3/16/2014,160,215,375,Rain
3/17/2014,1414,1395,2809,Rain
3/18/2014,1383,1419,2802,Rain
3/19/2014,1083,1109,2192,Rain
3/20/2014,1254,1437,2691,
3/21/2014,1307,1345,2652,
3/22/2014,710,794,1504,
3/23/2014,888,1075,1963,
3/24/2014,1793,1843,3636,
3/25/2014,1056,1031,2087,Rain
3/26/2014,1179,1167,2346,Rain
3/27/2014,1118,1239,2357,
3/28/2014,746,779,1525,Rain
3/29/2014,258,313,571,Rain
3/30/2014,542,778,1320,
3/31/2014,1724,1712,3436,
4/1/2014,1855,1936,3791,
4/2/2014,1725,1947,3672,
4/3/2014,1297,1326,2623,Rain
4/4/2014,1402,1415,2817,Rain
4/5/2014,475,569,1044,Rain
4/6/2014,647,896,1543,
4/7/2014,2111,2208,4319,
4/8/2014,1365,1441,2806,Rain
4/9/2014,1914,1914,3828,Rain
4/10/2014,1907,2033,3940,
4/11/2014,1680,1755,3435,
4/12/2014,1015,1170,2185,
4/13/2014,1161,1486,2647,
4/14/2014,1957,2049,4006,
4/15/2014,1549,1657,3206,Rain
4/16/2014,1065,1068,2133,Rain
4/17/2014,867,883,1750,Rain
4/18/2014,1468,1462,2930,
4/19/2014,417,489,906,Rain
4/20/2014,826,908,1734,
4/21/2014,1661,1740,3401,Rain
4/22/2014,1385,1250,2635,Rain
4/23/2014,2603,1465,4068,Rain
4/24/2014,1241,1270,2511,Rain
4/25/2014,2706,1688,4394,
4/26/2014,1119,1048,2167,Rain
4/27/2014,726,676,1402,Rain
4/28/2014,4673,1950,6623,
4/29/2014,4422,2472,6894,
4/30/2014,2479,2688,5167,
5/1/2014,2874,3063,5937,
5/2/2014,2206,2402,4608,Rain
5/3/2014,531,626,1157,Rain
5/4/2014,289,331,620,Rain
5/5/2014,1583,1718,3301,Rain
5/6/2014,2215,2421,4636,
5/7/2014,2587,2868,5455,
5/8/2014,1577,1653,3230,Rain
5/9/2014,1480,1556,3036,Rain
5/10/2014,758,967,1725,
5/11/2014,1076,1300,2376,
5/12/2014,2705,2727,5432,
5/13/2014,3008,3080,6088,
5/14/2014,2852,3035,5887,
5/15/2014,2643,2657,5300,
5/16/2014,2599,3143,5742,
5/17/2014,925,1116,2041,
5/18/2014,848,1089,1937,
5/19/2014,2322,2380,4702,
5/20/2014,2835,2843,5678,
5/21/2014,2563,2666,5229,
5/22/2014,2437,2473,4910,
5/23/2014,1248,1308,2556,Rain
5/24/2014,1031,1124,2155,
5/25/2014,564,670,1234,Rain
5/26/2014,1029,1260,2289,
5/27/2014,2470,2562,5032,
5/28/2014,1930,2078,4008,Rain
5/29/2014,2287,2300,4587,
5/30/2014,2432,2437,4869,
5/31/2014,1278,1609,2887,
6/1/2014,1163,1438,2601,
6/2/2014,2487,2427,4914,Fog
6/3/2014,2299,2371,4670,
6/4/2014,2400,2463,4863,
6/5/2014,2353,2322,4675,
6/6/2014,2182,2200,4382,
6/7/2014,1278,1529,2807,
6/8/2014,1647,1900,3547,
6/9/2014,2088,2040,4128,
6/10/2014,2277,2253,4530,
6/11/2014,2542,2654,5196,
6/12/2014,1979,2098,4077,Rain
6/13/2014,1135,1131,2266,Rain
6/14/2014,818,955,1773,
6/15/2014,547,720,1267,
6/16/2014,1672,1689,3361,Rain
6/17/2014,2032,2075,4107,Rain
6/18/2014,2270,2380,4650,
6/19/2014,2164,2248,4412,Rain
6/20/2014,1888,1902,3790,Rain
6/21/2014,1694,1510,3204,
6/22/2014,1303,1411,2714,
6/23/2014,2266,2211,4477,Rain
6/24/2014,2136,2206,4342,
6/25/2014,2344,2188,4532,
6/26/2014,1909,1948,3857,
6/27/2014,1415,1456,2871,Rain
6/28/2014,857,923,1780,Rain
6/29/2014,1050,1262,2312,
6/30/2014,2399,2403,4802,
7/1/2014,2501,2646,5147,
7/2/2014,2429,2313,4742,
7/3/2014,1895,1864,3759,
7/4/2014,1739,1545,3284,
7/5/2014,972,1004,1976,
7/6/2014,1305,1577,2882,
7/7/2014,2202,2254,4456,
7/8/2014,2606,2609,5215,
7/9/2014,2544,2591,5135,
7/10/2014,2322,2478,4800,
7/11/2014,1982,2186,4168,
7/12/2014,1236,1244,2480,
7/13/2014,1034,1264,2298,Thunderstorm
7/14/2014,2195,2216,4411,
7/15/2014,2465,2476,4941,Fog
7/16/2014,2527,2482,5009,
7/17/2014,2225,2310,4535,
7/18/2014,2036,2099,4135,
7/19/2014,1061,1059,2120,
7/20/2014,726,809,1535,
7/21/2014,2240,2285,4525,
7/22/2014,2362,2416,4778,
7/23/2014,996,993,1989,Rain-Thunderstorm
7/24/2014,1486,1516,3002,Rain
7/25/2014,1972,2100,4072,
7/26/2014,1222,1488,2710,
7/27/2014,1208,1419,2627,
7/28/2014,2365,2431,4796,
7/29/2014,2642,2606,5248,
7/30/2014,2574,2485,5059,
7/31/2014,2430,2405,4835,
8/1/2014,2054,2052,4106,Rain
8/2/2014,974,1136,2110,Rain-Thunderstorm
8/3/2014,1187,1330,2517,
8/4/2014,2391,2299,4690,
8/5/2014,2427,2392,4819,
8/6/2014,2411,2367,4778,
8/7/2014,2292,2261,4553,
8/8/2014,2055,1901,3956,
8/9/2014,1140,1289,2429,
8/10/2014,1170,1380,2550,
8/11/2014,2215,2110,4325,Rain-Thunderstorm
8/12/2014,1878,1889,3767,Rain
8/13/2014,1673,1613,3286,Rain
8/14/2014,2020,2009,4029,Fog-Rain
8/15/2014,1632,1490,3122,Rain
8/16/2014,1166,1218,2384,
8/17/2014,1153,1293,2446,
8/18/2014,2422,2214,4636,
8/19/2014,2499,2435,4934,
8/20/2014,2128,2061,4189,
8/21/2014,2148,2176,4324,
8/22/2014,1962,1873,3835,
8/23/2014,1127,1303,2430,
8/24/2014,1138,1281,2419,
8/25/2014,2504,2479,4983,
8/26/2014,2824,2727,5551,
8/27/2014,2545,2501,5046,
8/28/2014,2201,2208,4409,
8/29/2014,1642,1546,3188,
8/30/2014,403,456,859,Rain
8/31/2014,869,951,1820,Rain
9/1/2014,1100,1256,2356,
9/2/2014,1689,1804,3493,Rain
9/3/2014,1957,2164,4121,
9/4/2014,2462,2478,4940,
9/5/2014,2065,2122,4187,
9/6/2014,1133,1267,2400,
9/7/2014,1010,1204,2214,
9/8/2014,1658,2151,3809,Rain
9/9/2014,1706,2282,3988,
9/10/2014,2320,1695,4015,
9/11/2014,2126,1916,4042,
9/12/2014,1917,1986,3903,
9/13/2014,1177,1190,2367,
9/14/2014,1039,1142,2181,
9/15/2014,1836,2614,4450,
9/16/2014,2091,2247,4338,
9/17/2014,1864,1861,3725,Rain
9/18/2014,1656,1616,3272,Rain
9/19/2014,1841,1893,3734,
9/20/2014,1071,1154,2225,
9/21/2014,1052,1165,2217,
9/22/2014,1670,2116,3786,
9/23/2014,1515,1901,3416,Rain
9/24/2014,1049,1117,2166,Rain
9/25/2014,1458,1504,2962,Rain
9/26/2014,1175,1336,2511,Rain
9/27/2014,1066,1259,2325,
9/28/2014,825,993,1818,
9/29/2014,1474,1561,3035,Fog-Rain
9/30/2014,1513,2049,3562,Rain
10/1/2014,1663,2174,3837,Rain
10/2/2014,1664,2232,3896,
10/3/2014,1491,2218,3709,
10/4/2014,880,1060,1940,
10/5/2014,950,1212,2162,Fog
10/6/2014,1793,2281,4074,Fog
10/7/2014,1653,2211,3864,Fog
10/8/2014,1622,2158,3780,Fog
10/9/2014,1557,2106,3663,Fog
10/10/2014,1215,1742,2957,Fog-Rain
10/11/2014,483,648,1131,Rain-Thunderstorm
10/12/2014,720,839,1559,Rain
10/13/2014,1388,1967,3355,Fog-Rain
10/14/2014,1550,1647,3197,Rain
10/15/2014,1140,1415,2555,Rain
10/16/2014,1503,2126,3629,Rain
10/17/2014,973,1236,2209,Rain
10/18/2014,583,795,1378,Rain
10/19/2014,994,1254,2248,
10/20/2014,1544,1314,2858,Rain
10/21/2014,1633,1331,2964,Rain
10/22/2014,974,1113,2087,Rain
10/23/2014,1189,1192,2381,Rain
10/24/2014,1570,1208,2778,Rain
10/25/2014,368,372,740,Rain
10/26/2014,409,507,916,Rain
10/27/2014,1877,1453,3330,Rain
10/28/2014,1118,1143,2261,Rain
10/29/2014,1905,1491,3396,Rain
10/30/2014,1166,1226,2392,Rain
10/31/2014,932,1006,1938,Rain
11/1/2014,581,713,1294,Fog
11/2/2014,481,591,1072,Rain
11/3/2014,1219,1284,2503,Rain
11/4/2014,1365,1425,2790,Rain
11/5/2014,1553,1219,2772,Rain
11/6/2014,1095,1153,2248,Rain
11/7/2014,1826,1252,3078,
11/8/2014,1246,608,1854,Fog
11/9/2014,308,444,752,Rain
11/10/2014,1781,1473,3254,
11/11/2014,1573,1218,2791,
11/12/2014,1484,1258,2742,
11/13/2014,1372,1244,2616,
11/14/2014,971,1206,2177,
11/15/2014,493,590,1083,
11/16/2014,474,530,1004,
11/17/2014,1174,1524,2698,
11/18/2014,1429,1404,2833,
11/19/2014,1575,1260,2835,Rain
11/20/2014,1517,1208,2725,Rain
11/21/2014,859,899,1758,Rain
11/22/2014,504,550,1054,Rain
11/23/2014,362,425,787,Rain
11/24/2014,1051,1367,2418,Rain
11/25/2014,873,1078,1951,Rain
11/26/2014,1077,1162,2239,
11/27/2014,205,295,500,Rain
11/28/2014,153,171,324,Rain
11/29/2014,176,169,345,Snow
11/30/2014,250,243,493,
12/1/2014,865,944,1809,
12/2/2014,1102,1037,2139,
12/3/2014,1275,1019,2294,
12/4/2014,1145,951,2096,Rain
12/5/2014,984,944,1928,Rain
12/6/2014,424,478,902,Rain
12/7/2014,566,628,1194,
12/8/2014,1390,999,2389,Rain
12/9/2014,919,1200,2119,Rain
12/10/2014,749,1208,1957,Rain
12/11/2014,1199,422,1621,Rain
12/12/2014,1120,1181,2301,
12/13/2014,562,641,1203,Fog-Rain
12/14/2014,555,677,1232,Fog
12/15/2014,1735,548,2283,
12/16/2014,1004,1420,2424,Rain
12/17/2014,1392,587,1979,Rain
12/18/2014,712,1229,1941,Rain
12/19/2014,917,953,1870,Rain
12/20/2014,188,216,404,Rain
12/21/2014,390,454,844,
12/22/2014,1124,1132,2256,
12/23/2014,670,730,1400,Rain
12/24/2014,383,430,813,Rain
12/25/2014,198,253,451,Fog
12/26/2014,514,485,999,Fog
12/27/2014,262,281,543,Rain
12/28/2014,292,352,644,Rain
12/29/2014,820,821,1641,
12/30/2014,744,756,1500,
12/31/2014,5,3,8,
